ID Follow-up,ID Contato,Cliente,Data do orçamento,Valor do orçamento,Data do follow-up,Cadência,Canal,Responsavel,Resultado,Venda recuperada?,Valor recuperado,Motivo da perda,Próximo contato,Observação
FUP-0001,,gabriel,31/07/2026,1000,01/08/2026,1 dia,,Taina ,,Sim ,200,,,
FUP-0002,,janiva,31/07/2026,1200,31/07/2026,3 dia,,Taina ,,Sim ,100,,,
FUP-0003,,tais,31/07/2026,1200,01/08/2026,15 dia,,Taina ,,Sim ,100,,,
FUP-0004,,jorge,31/07/2026,1200,31/07/2026,30 dia,,Taina ,,Sim ,100,,,
FUP-0005,,thiago,31/07/2026,200,31/07/2026,15 dia,,Taina ,,Sim ,250,,,
FUP-0006,,rosania,31/07/2026,600,31/07/2026,1 dia,,Taina ,,Sim ,300,,,
FUP-0007,,maisa,31/07/2031,300,31/07/2026,1 dia,,Taina ,,Não ,300,,,
FUP-0008,,gessica,31/07/2032,400,31/07/2026,7 dia,,Taina ,,Não ,300,,,
FUP-0009,,d,31/07/2033,200,31/07/2026,15 dia,,Wanessa,,Não ,300,,,
FUP-0010,,da,31/07/2026,300,31/07/2026,1 dia,,Taina ,,Sim ,300,,,
FUP-0011,,d,31/07/2026,240,31/07/2026,2 dia,,Wanessa,,Não ,300,,,
FUP-0012,,asd,31/07/2026,300,31/07/2026,3 dia,,Taina ,,Não ,300,,,
FUP-0013,,asad,31/07/2026,150,31/07/2026,4 dia,,Taina ,,Não ,300,,,
FUP-0014,,sa,31/07/2026,300,31/07/2026,7 dia,,Wanessa,,Não ,300,,,
FUP-0015,,sd,31/07/2026,80,31/07/2026,8 dia,,Taina ,,Não ,300,,,
FUP-0016,,sd,31/07/2026,80,31/07/2026,9 dia,,Wanessa,,Não ,300,,,
FUP-0017,,asd,31/07/2026,300,31/07/2026,10 dia,,Taina ,,Não ,300,,,
