ID Venda,Data da venda,ID Cliente/Contato,Cliente,Tipo de venda,Produto/Plano,Valor vendido,Origem,Estratégia,Responsável recepção,Responsável comercial,Venda nova ou renovação,Recuperada por follow-up?,ID do follow-up,Observação
VEN-0001,30/07/2026,659912321,Warley Neres da Cunha junior,Plano novo,Limpeza de Pele,519,Instagram orgânico,Novo contato,Taina ,Taina ,Renovação ,Follow up,,
VEN-0002,16/07/2026,65 3056 2030,Camila da Silva Costa,Procedimento avulso,Ultraformer III,519,Outro,Nao Fechou,Wanessa,Taina ,Renovação ,Novo,,
VEN-0003,17/07/2026,65 7000 2001,Jheniffer Hortencia Pamplona Moestar,Ticket baixo,Limpeza de Pele,519,WhatsApp,Compareceu,Wanessa,Taina ,Renovação ,Recuperada,,
VEN-0004,18/07/2026,65 3056 2030,Fátima Cristina de Arruda,Renovação,Limpeza de Pele,519,WhatsApp,Em follow-up,Wanessa,Taina ,Renovação ,Recuperada,,
VEN-0005,19/07/2026,65 3056 2030,Fátima Cristina de Arruda,Renovação,Limpeza de Pele,519,WhatsApp,Prospectado,Wanessa,Taina ,Renovação ,Recuperada,,
VEN-0006,20/07/2026,65 3056 2030,Simone Cristina de Arruda,Renovação,Limpeza de Pele,519,WhatsApp,Prospectado,Wanessa,Taina ,Renovação ,Recuperada,,
VEN-0007,21/07/2026,65 3056 2030,Erica Viana Andreotti,Renovação,Limpeza de Pele,519,WhatsApp,Prospectado,Wanessa,Taina ,Renovação ,Recuperada,,
VEN-0008,22/07/2026,65 3056 2030,Angela Marta de Jesus,Renovação,Limpeza de Pele,519,WhatsApp,Prospectado,Wanessa,Taina ,Renovação ,Recuperada,,
VEN-0009,23/07/2026,65 3056 2030,Azenir Gonçalves da Silva Teixeira,Renovação,Limpeza de Pele,519,WhatsApp,Prospectado,Wanessa,Taina ,Renovação ,Recuperada,,
VEN-0010,24/07/2026,65 3056 2030,Eloina Okazaki Rodigheri,Renovação,Limpeza de Pele,519,WhatsApp,Prospectado,Wanessa,Taina ,Venda Nova ,Recuperada,,
VEN-0011,25/07/2026,65 3056 2030,Kátia Cilene Moreira da Silva,Ticket baixo,Laser CO2,519,WhatsApp,Prospectado,Wanessa,Taina ,Venda Nova ,Follow up,,
VEN-0012,26/07/2026,65 3056 2030,Mariana Schneider Hartenberger,Ticket baixo,Reconstrução,519,WhatsApp,Compareceu,Wanessa,Wanessa,Venda Nova ,Follow up,,
VEN-0013,27/07/2026,65 3056 2030,Vitória Castro da Silva,Ticket baixo,Lifting Facial,29,WhatsApp,Em follow-up,Wanessa,Wanessa,Venda Nova ,Follow up,,
VEN-0014,28/07/2026,65 3056 2030,Lucilene Mirandola,Ticket baixo,Peeling Hollywood,5148,WhatsApp,Compareceu,Wanessa,Wanessa,Venda Nova ,Follow up,,
VEN-0015,29/07/2026,66 3056 2030,Warley Neres da Cunha junior,Ticket baixo,SPA Labial,5148,WhatsApp,Prospectado,Taina ,Wanessa,Venda Nova ,Follow up,,
VEN-0016,30/07/2026,67 3056 2030,Camila da Silva Costa,Ticket baixo,Laser CO2,5148,WhatsApp,Prospectado,Taina ,Wanessa,Venda Nova ,Follow up,,
VEN-0017,31/07/2026,68 3056 2030,Jheniffer Hortencia Pamplona Moestar,Procedimento avulso,Reconstrução,5148,Instagram orgânico,Em follow-up,Taina ,Wanessa,Venda Nova ,Recuperada,,
VEN-0018,01/08/2026,69 3056 2030,Fátima Cristina de Arruda,Procedimento avulso,Hidragloss,5148,Tráfego pago,Prospectado,Taina ,Wanessa,Venda Nova ,Recuperada,,
VEN-0019,02/08/2026,70 3056 2030,Fátima Cristina de Arruda,Procedimento avulso,Laser,5148,Evento,Prospectado,Taina ,Wanessa,Venda Nova ,Recuperada,,
,06/11/2026,,,,,,,,,,,,,
